400314,CA,12,Yea,Rep. Nancy Pelosi [D],Democrat
400316,MN,7,Yea,Rep. Collin Peterson [D],Democrat
400320,PA,16,Nay,Rep. Joseph Pitts [R],Republican
400326,NC,4,Yea,Rep. David Price [D],Democrat
400333,NY,13,Yea,Rep. Charles “Charlie” Rangel [D],Democrat
400340,KY,5,Nay,Rep. Harold “Hal” Rogers [R],Republican
400341,AL,3,Not Voting,Rep. Mike Rogers [R],Republican
400343,CA,48,Nay,Rep. Dana Rohrabacher [R],Republican
400344,FL,27,Nay,Rep. Ileana Ros-Lehtinen [R],Republican
400347,CA,40,Yea,Rep. Lucille Roybal-Allard [D],Democrat
400348,CA,39,Nay,Rep. Edward “Ed” Royce [R],Republican
400349,MD,2,Yea,Rep. A. Dutch Ruppersberger [D],Democrat
400350,IL,1,Yea,Rep. Bobby Rush [D],Democrat
400352,OH,13,Yea,Rep. Tim Ryan [D],Democrat
400355,CA,38,Yea,Rep. Linda Sánchez [D],Democrat
400356,CA,46,Yea,Rep. Loretta Sanchez [D],Democrat
400360,IL,9,Yea,Rep. Janice “Jan” Schakowsky [D],Democrat
400361,CA,28,Yea,Rep. Adam Schiff [D],Democrat
400363,GA,13,Yea,Rep. David Scott [D],Democrat
400364,VA,3,Yea,Rep. Robert “Bobby” Scott [D],Democrat
400365,WI,5,Nay,Rep. James Sensenbrenner Jr. [R],Republican
400366,NY,15,Yea,Rep. José Serrano [D],Democrat
400367,TX,32,Nay,Rep. Pete Sessions [R],Republican
400371,CA,30,Yea,Rep. Brad Sherman [D],Democrat
400373,IL,15,Nay,Rep. John Shimkus [R],Republican
400376,ID,2,Nay,Rep. Michael “Mike” Simpson [R],Republican
400378,NY,25,Yea,Rep. Louise Slaughter [D],Democrat
400379,WA,9,Yea,Rep. Adam Smith [D],Democrat
400380,NJ,4,Nay,Rep. Christopher “Chris” Smith [R],Republican
400381,TX,21,Nay,Rep. Lamar Smith [R],Republican
400402,MS,2,Yea,Rep. Bennie Thompson [D],Democrat
400403,CA,5,Yea,Rep. Mike Thompson [D],Democrat
400404,TX,13,Nay,Rep. Mac Thornberry [R],Republican
400406,OH,12,Nay,Rep. Patrick “Pat” Tiberi [R],Republican
400411,OH,10,Nay,Rep. Michael Turner [R],Republican
400414,MI,6,Nay,Rep. Fred Upton [R],Republican
400415,MD,8,Yea,Rep. Chris Van Hollen Jr. [D],Democrat
400416,NY,7,Yea,Rep. Nydia Velázquez [D],Democrat
400417,IN,1,Yea,Rep. Peter Visclosky [D],Democrat
400419,OR,2,Nay,Rep. Greg Walden [R],Republican
400422,CA,43,Yea,Rep. Maxine Waters [D],Democrat
400433,SC,2,Nay,Rep. Joe Wilson [R],Republican
400440,AK,0,Nay,Rep. Don Young [R],Republican
400441,TX,19,Nay,Rep. Randy Neugebauer [R],Republican
400606,AZ,5,Nay,Rep. Matt Salmon [R],Republican
400607,SC,1,Nay,Rep. Marshall “Mark” Sanford [R],Republican
400616,NC,1,Yea,Rep. George “G.K.” Butterfield Jr. [D],Democrat
400618,CA,16,Yea,Rep. Jim Costa [D],Democrat
400623,FL,23,Yea,Rep. Debbie Wasserman Schultz [D],Democrat
400626,GA,6,Nay,Rep. Tom Price [R],Republican
400627,GA,3,Not Voting,Rep. Lynn Westmoreland [R],Republican
400630,IL,3,Yea,Rep. Daniel Lipinski [D],Democrat
400636,LA,3,Nay,Rep. Charles Boustany Jr. [R],Republican
400639,MO,5,Yea,Rep. Emanuel Cleaver II [D],Democrat
400640,NE,1,Nay,Rep. Jeff Fortenberry [R],Republican
400641,NY,26,Yea,Rep. Brian Higgins [D],Democrat
400643,NC,5,Nay,Rep. Virginia Foxx [R],Republican
400644,NC,10,Nay,Rep. Patrick McHenry [R],Republican
400646,PA,8,Not Voting,Rep. Michael Fitzpatrick [R],Republican
400648,PA,15,Nay,Rep. Charles Dent [R],Republican
400651,TX,1,Nay,Rep. Louie Gohmert Jr. [R],Republican
400652,TX,2,Not Voting,Rep. Ted Poe [R],Republican
400653,TX,9,Yea,Rep. Al Green [D],Democrat
