400004,AL,4,Aye,Rep. Robert Aderholt [R],Republican
400018,TX,6,Aye,Rep. Joe Barton [R],Republican
400021,CA,34,No,Rep. Xavier Becerra [D],Democrat
400029,UT,1,Aye,Rep. Rob Bishop [R],Republican
400030,GA,2,No,Rep. Sanford Bishop Jr. [D],Democrat
400032,TN,7,Aye,Rep. Marsha Blackburn [R],Republican
400033,OR,3,Not Voting,Rep. Earl Blumenauer [D],Democrat
400046,TX,8,Aye,Rep. Kevin Brady [R],Republican
400047,PA,1,No,Rep. Robert Brady [D],Democrat
400048,FL,5,Not Voting,Rep. Corrine Brown [D],Democrat
400052,TX,26,Aye,Rep. Michael Burgess [R],Republican
400057,CA,42,Aye,Rep. Ken Calvert [R],Republican
400062,CA,24,No,Rep. Lois Capps [D],Democrat
400063,MA,7,No,Rep. Michael Capuano [D],Democrat
400068,TX,31,Aye,Rep. John Carter [R],Republican
400071,OH,1,Aye,Rep. Steve Chabot [R],Republican
400074,MO,1,No,Rep. Lacy Clay Jr. [D],Democrat
400075,SC,6,No,Rep. James “Jim” Clyburn [D],Democrat
400077,OK,4,Aye,Rep. Tom Cole [R],Republican
400080,MI,13,No,Rep. John Conyers Jr. [D],Democrat
400081,TN,5,No,Rep. Jim Cooper [D],Democrat
400086,FL,4,Aye,Rep. Ander Crenshaw [R],Republican
400087,NY,14,No,Rep. Joseph “Joe” Crowley [D],Democrat
400089,TX,7,Aye,Rep. John Culberson [R],Republican
400090,MD,7,No,Rep. Elijah Cummings [D],Democrat
400093,IL,7,No,Rep. Danny Davis [D],Democrat
400097,CA,53,No,Rep. Susan Davis [D],Democrat
400100,OR,4,No,Rep. Peter DeFazio [D],Democrat
400101,CO,1,No,Rep. Diana DeGette [D],Democrat
400103,CT,3,No,Rep. Rosa DeLauro [D],Democrat
400108,FL,25,Aye,Rep. Mario Diaz-Balart [R],Republican
400111,TX,35,No,Rep. Lloyd Doggett [D],Democrat
400114,PA,14,No,Rep. Michael “Mike” Doyle Jr. [D],Democrat
400116,TN,2,Aye,Rep. John “Jimmy” Duncan Jr. [R],Republican
400122,NY,16,No,Rep. Eliot Engel [D],Democrat
400124,CA,18,No,Rep. Anna Eshoo [D],Democrat
400129,CA,20,No,Rep. Sam Farr [D],Democrat
400137,VA,4,Not Voting,Rep. Randy Forbes [R],Republican
400141,AZ,8,Aye,Rep. Trent Franks [R],Republican
400142,NJ,11,Aye,Rep. Rodney Frelinghuysen [R],Republican
400145,NJ,5,Aye,Rep. Scott Garrett [R],Republican
400154,VA,6,Aye,Rep. Bob Goodlatte [R],Republican
400157,TX,12,Aye,Rep. Kay Granger [R],Republican
400158,MO,6,Aye,Rep. Sam Graves [R],Republican
400160,TX,29,No,Rep. Gene Green [D],Democrat
400162,AZ,3,No,Rep. Raúl Grijalva [D],Democrat
400163,IL,4,No,Rep. Luis Gutiérrez [D],Democrat
400170,FL,20,No,Rep. Alcee Hastings [D],Democrat
400175,TX,5,Not Voting,Rep. Jeb Hensarling [R],Republican
400179,TX,15,No,Rep. Rubén Hinojosa [D],Democrat
400185,CA,17,No,Rep. Michael “Mike” Honda [D],Democrat
400189,MD,5,No,Rep. Steny Hoyer [D],Democrat
400195,NY,3,No,Rep. Steve Israel [D],Democrat
400196,CA,49,Aye,Rep. Darrell Issa [R],Republican
400199,TX,18,No,Rep. Sheila Jackson Lee [D],Democrat
400204,TX,30,No,Rep. Eddie Johnson [D],Democrat
400206,TX,3,Aye,Rep. Sam Johnson [R],Republican
400209,NC,3,Aye,Rep. Walter Jones Jr. [R],Republican
400211,OH,9,No,Rep. Marcy Kaptur [D],Democrat
400218,WI,3,No,Rep. Ron Kind [D],Democrat
400219,NY,2,Aye,Rep. Peter “Pete” King [R],Republican
400220,IA,4,Aye,Rep. Steve King [R],Republican
400224,MN,2,Not Voting,Rep. John Kline [R],Republican
400230,RI,2,No,Rep. James “Jim” Langevin [D],Democrat
400232,WA,2,No,Rep. Rick Larsen [D],Democrat
400233,CT,1,No,Rep. John Larson [D],Democrat
400237,CA,13,No,Rep. Barbara Lee [D],Democrat
400238,MI,9,No,Rep. Sander Levin [D],Democrat
400240,GA,5,No,Rep. John Lewis [D],Democrat
400244,NJ,2,Aye,Rep. Frank LoBiondo [R],Republican
400245,CA,19,No,Rep. Zoe Lofgren [D],Democrat
400246,NY,17,No,Rep. Nita Lowey [D],Democrat
400247,OK,3,Aye,Rep. Frank Lucas [R],Republican
400249,MA,8,No,Rep. Stephen Lynch [D],Democrat
400251,NY,12,No,Rep. Carolyn Maloney [D],Democrat
400259,MN,4,No,Rep. Betty McCollum [D],Democrat
400262,WA,7,No,Rep. Jim McDermott [D],Democrat
400263,MA,2,No,Rep. James “Jim” McGovern [D],Democrat
400271,NY,5,No,Rep. Gregory Meeks [D],Democrat
400273,FL,7,Aye,Rep. John Mica [R],Republican
400276,MI,10,Aye,Rep. Candice Miller [R],Republican
400279,FL,1,Aye,Rep. Jeff Miller [R],Republican
400285,PA,18,Aye,Rep. Tim Murphy [R],Republican
400289,NY,10,No,Rep. Jerrold Nadler [D],Democrat
400290,CA,32,No,Rep. Grace Napolitano [D],Democrat
400291,MA,1,No,Rep. Richard Neal [D],Democrat
400297,CA,22,Aye,Rep. Devin Nunes [R],Republican
400308,NJ,6,No,Rep. Frank Pallone Jr. [D],Democrat
400309,NJ,9,No,Rep. Bill Pascrell Jr. [D],Democrat
400313,NM,2,Aye,Rep. Stevan “Steve” Pearce [R],Republican
400314,CA,12,No,Rep. Nancy Pelosi [D],Democrat
400316,MN,7,Aye,Rep. Collin Peterson [D],Democrat
400320,PA,16,Aye,Rep. Joseph Pitts [R],Republican
400326,NC,4,No,Rep. David Price [D],Democrat
400333,NY,13,No,Rep. Charles “Charlie” Rangel [D],Democrat
400340,KY,5,Aye,Rep. Harold “Hal” Rogers [R],Republican
400341,AL,3,Aye,Rep. Mike Rogers [R],Republican
400343,CA,48,Aye,Rep. Dana Rohrabacher [R],Republican
400344,FL,27,Aye,Rep. Ileana Ros-Lehtinen [R],Republican
400347,CA,40,No,Rep. Lucille Roybal-Allard [D],Democrat
400348,CA,39,Aye,Rep. Edward “Ed” Royce [R],Republican
400349,MD,2,No,Rep. A. Dutch Ruppersberger [D],Democrat
400350,IL,1,No,Rep. Bobby Rush [D],Democrat
400352,OH,13,No,Rep. Tim Ryan [D],Democrat
400355,CA,38,No,Rep. Linda Sánchez [D],Democrat
400356,CA,46,No,Rep. Loretta Sanchez [D],Democrat
400360,IL,9,No,Rep. Janice “Jan” Schakowsky [D],Democrat
400361,CA,28,No,Rep. Adam Schiff [D],Democrat
400363,GA,13,No,Rep. David Scott [D],Democrat
400364,VA,3,No,Rep. Robert “Bobby” Scott [D],Democrat
400365,WI,5,Aye,Rep. James Sensenbrenner Jr. [R],Republican
400366,NY,15,No,Rep. José Serrano [D],Democrat
400367,TX,32,Aye,Rep. Pete Sessions [R],Republican
400371,CA,30,No,Rep. Brad Sherman [D],Democrat
400373,IL,15,Aye,Rep. John Shimkus [R],Republican
